Genotype,Sex,ChrY_cov,,,,,geno_match_temp,Isolate_covFileName
8415_190,1,0.117247,,,,,8415_19,S.8415.194.R1.match.sdr.cov.txt
8412_007,2,0.117562,,,,,8412_007,S.8412.007.R1.match.sdr.cov.txt
8412_338,1,0.117584,,,,,8412_338,S.8412.342.R1.match.sdr.cov.txt
8415_109,2,0.117617,,,,,8415_109,S.8415.113.R1.match.sdr.cov.txt
8415_103,0,0.117639,,,,,8415_103,S.8415.107.R1.match.sdr.cov.txt
8412_242,0,0.117657,,,,,8412_242,S.8412.242.R1.match.sdr.cov.txt
8412_094,3,0.118012,,,,,8412_094,S.8412.094.R1.match.sdr.cov.txt
8415_110,0,0.11819,,,,,8415_11,S.8415.114.R1.match.sdr.cov.txt
8412_334,2,0.118297,,,,,8412_334,S.8412.338.R1.match.sdr.cov.txt
8415_322,2,0.118599,,,,,8415_322,S.8415.326.R1.match.sdr.cov.txt
8412_046,0,0.118719,,,,,8412_046,S.8412.046.R1.match.sdr.cov.txt
8415_338,0,0.118912,,,,,8415_338,S.8415.342.R1.match.sdr.cov.txt
8415_224,2,0.118917,,,,,8415_224,S.8415.228.R1.match.sdr.cov.txt
8412_052,0,0.11952,,,,,8412_052,S.8412.052.R1.match.sdr.cov.txt
8415_219,2,0.119766,,,,,8415_219,S.8415.223.R1.match.sdr.cov.txt
8415_076,2,0.11979,,,,,8415_076,S.8415.08.R1.match.sdr.cov.txt
8412_337,2,0.119885,,,,,8412_337,S.8412.341.R1.match.sdr.cov.txt
8415_214,1,0.120047,,,,,8415_214,S.8415.218.R1.match.sdr.cov.txt
8412_412,2,0.120477,,,,,8412_412,S.8412.416.R1.match.sdr.cov.txt
8415_332,0,0.120627,,,,,8415_332,S.8415.336.R1.match.sdr.cov.txt
8415_314,0,0.120715,,,,,8415_314,S.8415.318.R1.match.sdr.cov.txt
8415_204,0,0.120745,,,,,8415_204,S.8415.208.R1.match.sdr.cov.txt
8415_378,1,0.12075,,,,,8415_378,S.8415.382.R1.match.sdr.cov.txt
8415_372,4,0.120769,,,,,8415_372,S.8415.376.R1.match.sdr.cov.txt
8415_187,2,0.120822,,,,,8415_187,S.8415.191.R1.match.sdr.cov.txt
8412_325,1,0.121015,,,,,8412_325,S.8412.329.R1.match.sdr.cov.txt
8415_028,0,0.121024,,,,,8415_028,S.8415.032.R1.match.sdr.cov.txt
8412_138,1,0.121125,,,,,8412_138,S.8412.138.R1.match.sdr.cov.txt
8412_428,1,0.121191,,,,,8412_428,S.8412.432.R1.match.sdr.cov.txt
8415_016,2,0.121199,,,,,8415_016,S.8415.02.R1.match.sdr.cov.txt
8412_054,3,0.121385,,,,,8412_054,S.8412.054.R1.match.sdr.cov.txt
8415_290,0,0.121459,,,,,8415_29,S.8415.294.R1.match.sdr.cov.txt
8415_071,0,0.121675,,,,,8415_071,S.8415.075.R1.match.sdr.cov.txt
8415_081,1,0.121744,,,,,8415_081,S.8415.085.R1.match.sdr.cov.txt
8415_051,4,0.12199,,,,,8415_051,S.8415.055.R1.match.sdr.cov.txt
8415_008,0,0.12202,,,,,8415_008,S.8415.012.R1.match.sdr.cov.txt
8412_390,2,0.122056,,,,,8412_39,S.8412.394.R1.match.sdr.cov.txt
8412_290,2,0.122257,,,,,8412_290,S.8412.29.R1.match.sdr.cov.txt
8412_044,3,0.122449,,,,,8412_044,S.8412.044.R1.match.sdr.cov.txt
8412_135,3,0.122641,,,,,8412_135,S.8412.135.R1.match.sdr.cov.txt
8412_042,1,0.122945,,,,,8412_042,S.8412.042.R1.match.sdr.cov.txt
8415_083,2,0.12301,,,,,8415_083,S.8415.087.R1.match.sdr.cov.txt
8412_276,2,0.123064,,,,,8412_276,S.8412.276.R1.match.sdr.cov.txt
8415_176,1,0.123124,,,,,8415_176,S.8415.18.R1.match.sdr.cov.txt
8415_349,0,0.12315,,,,,8415_349,S.8415.353.R1.match.sdr.cov.txt
